DATE,TIME,SPO2,PULSE
2023-04-29, 15:40:42, 97, 88
2023-04-29, 15:40:43, 97, 89
2023-04-29, 15:40:44, 97, 90
2023-04-29, 15:40:45, 98, 91
2023-04-29, 15:40:46, 98, 91
2023-04-29, 15:40:47, 98, 90
2023-04-29, 15:40:48, 97, 89
2023-04-29, 15:40:49, 97, 89
2023-04-29, 15:40:50, 97, 89
2023-04-29, 15:40:51, 97, 88
2023-04-29, 15:40:52, 97, 88
2023-04-29, 15:40:53, 97, 90
2023-04-29, 15:40:54, 97, 91
2023-04-29, 15:40:55, 97, 90
2023-04-29, 15:40:56, 97, 89
2023-04-29, 15:40:57, 96, 88
2023-04-29, 15:40:58, 96, 88
2023-04-29, 15:40:59, 96, 87
2023-04-29, 15:41:00, 96, 87
2023-04-29, 15:41:01, 96, 86
2023-04-29, 15:41:02, 96, 87
2023-04-29, 15:41:03, 96, 87
2023-04-29, 15:41:04, 96, 87
2023-04-29, 15:41:05, 96, 88
2023-04-29, 15:41:06, 97, 88
2023-04-29, 15:41:07, 97, 88
2023-04-29, 15:41:08, 97, 87
2023-04-29, 15:41:09, 97, 87
2023-04-29, 15:41:10, 97, 87
2023-04-29, 15:41:11, 97, 87
2023-04-29, 15:41:12, 97, 87
2023-04-29, 15:41:13, 97, 87
2023-04-29, 15:41:14, 97, 87
2023-04-29, 15:41:15, 97, 87
2023-04-29, 15:41:16, 97, 87
2023-04-29, 15:41:17, 97, 87
2023-04-29, 15:41:18, 127, 255
2023-04-29, 15:41:19, 127, 255
2023-04-29, 15:41:20, 127, 255
2023-04-29, 15:41:21, 127, 255
